indian_jewish;Indian Jewish;;;;;;;;;;;;;x
konkani;Konkani;;;;;;;;;;;;;x
sinhala;Sinhala;;;;;;;;;;;;;x
lombard;Lombard;;;;;;;;;;;;;x
punjabi;Punjabi;;;;;;;;;;;;;x
tocharian;Tocharian;;;;;;;;;;;;;x
himalayan;Himalayan;;;;;;;;;;;;;x
guanche;Guanche;;;;;;;;;;;;;x
maghreb_jewish;Maghrebi Jewish;;;;;;;;;;;;;x
italian_jewish;Italian Jewish;;;;;;;;;;;;;x
caucasian_jewish;Caucasian Jewish;;;;;;;;;;;;;x
yemenite_jewish;Yemenite Jewish;;;;;;;;;;;;;x
norsebriton;Norse-Briton;;;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;;x
crimean_gothic;Crimean Gothic;;;;;;;;;;;;;x
parsi;Parsi;;;;;;;;;;;;;x
serindian;Serindian;;;;;;;;;;;;;x
khotanese;Khotanese;;;;;;;;;;;;;x
tokharian;Tokharian;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
#ETC;;;;;;;;;;;;;;x
baron_andalusian_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
baron_female_andalusian_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
barony_of_andalusian_arabic;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x
count_andalusian_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
count_female_andalusian_arabic;Shaykhah;Cheykha;Shaykhah;;Jequesa;;;;;;;;;x
county_of_andalusian_arabic;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;;;;;;;;;x
duke_andalusian_arabic;Emir;Émir;Emir;;Emir;;;;;;;;;x
duke_female_andalusian_arabic;Emira;Émirat;Emirin;;Emira;;;;;;;;;x
duchy_of_andalusian_arabic;Emirate of;Émirat de;Emirat von;;Emirato de;;;;;;;;;x
king_andalusian_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
king_female_andalusian_arabic;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
kingdom_of_andalusian_arabic;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
barony_andalusian_arabic;Wilayah;Wilaya;Wilayah;;Vilayato;;;;;;;;;x;
county_andalusian_arabic;Sheikhdom;Cheikat;Scheichtum;;Dominio del Jeque;;;;;;;;;x;
duchy_andalusian_arabic;Emirate;Émirat;Emirat;;Emirato;;;;;;;;;x;
kingdom_andalusian_arabic;Sultanate;Sultanat;Sultanat;;Sultanato;;;;;;;;;x;
job_chancellor_andalusian_arabic;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x
emperor_andalusian_arabic;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
emperor_berber;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
title_tanist_saxon;Aetheling;Aetheling;Aetheling;;Aetheling;;;;;;;;;x
title_tanist_welsh;Edling;Edling;Edling;;Edling;;;;;;;;;x
arabic;Semitic;Semitic;Semitic;Semitic;;;;;;;;;x
#duke_lombard;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
#duke_female_lombrd;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
#duchy_of_lombard;Principality of;Principauté de;Fürstentum;;Principado de;;;;;;;;;x
