#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######Constantinople...;;;;;;;;;;;;x;;
ca_sacred_palace;Sacred Palace;Grand Palais;;;Lugar Sagrado;;;;;;;;;x
tp_hadrian_wall_0_desc;Hadrian's Wall was a defensive barrier built during the reign of the Roman emperor Hadrian with the intent of protecting the northwestern frontier of the Roman province of Britain from external invaders. It served as a delimitation of the northern frontier of the Roman Empire, with the Picts and Britons living north of it. In total it ran for 118 km from Wallsend (Segedunum) on the River Tyne in the east up to Bowness on the Solway Firth in the west.;;;;La Muralla de Adriano fue una barrera defensiva construida durante el reinado del emperador romano Adriano con la intención de proteger la frontera noroccidental de la provincia romana de Gran Bretaña de invasores externos. Sirvió como una delimitación de la frontera norte del Imperio Romano, con los pictos y los británicos viviendo al norte de ella. En total se extendía 118 kilómetros desde Wallsend (Segedunum) en el río Tyne en el este hasta Bowness en el Solway Firth en el oeste.;;;;;;;;;x
ca_antonine_wall_0;Remnants of Antonine Wall;Vestiges du mur d'Antonin;;;Restos de la Muralla de Antonino;;;;;;;;;x
ca_antonine_wall_0_desc;The Antonine Wall, known to the Romans as "Vallum Antonini", was a turf fortification on stone foundations, built by the Romans across what is now the Central Belt of Scotland, between the Firth of Forth and the Firth of Clyde. Representing the northernmost frontier barrier of the Roman Empire, it spanned approximately 63 kilometres (39 miles) and was about 3 metres high and 5 metres wide. Security was bolstered by a deep ditch on the northern side. It is thought that there was a wooden palisade on top of the turf. The barrier was the second of two "great walls" created by the Romans in Northern Britain. Its ruins are less evident than the better-known Hadrian's Wall to the south, primarily because the turf and wood wall has largely weathered away, unlike its stone-built southern predecessor.;Le mur d?Antonin est une muraille que l'empereur Antonin le Pieux fit construire vers 140 en Bretagne (Grande-Bretagne) par Quintus Lollius Urbicus entre le Firth of Forth et la Clyde (Écosse) et qui « doublait » au Nord la fortification (mur d'Hadrien) déja édifiée par son pere adoptif Hadrien. Il fut submergé par les invasions barbares pictes (territoire de l'Écosse actuelle) a la fin du IIe siecle.;;;El Muro de Antonino, conocido por los romanos como "Vallum Antonini", era una fortificación de césped sobre cimientos de piedra, construida por los romanos a través de lo que ahora es el Cinturón Central de Escocia, entre el Firth of Forth y el Firth of Clyde. Representando la barrera fronteriza más septentrional del Imperio Romano, se extendió aproximadamente 63 kilómetros (39 millas) y era cerca de 3 metros de alto y 5 metros de ancho. La seguridad fue reforzada por una profunda zanja en el lado norte. Se cree que había una empalizada de madera en la parte superior del césped. La barrera fue la segunda de dos "grandes muros" creados por los romanos en el norte de Gran Bretaña. Sus ruinas son menos evidentes que la Muralla de Adriano más conocida al sur, principalmente porque el césped y la pared de madera han desaparecido en gran medida, a diferencia de su predecesor de piedra construido en el sur.;;;;;;;;;x
tb_antonine_wall_0;Remnants of Antonine Wall;Vestiges du mur d'Antonin;;;Restos de la Muralla de Antonino;;;;;;;;;x
tb_antonine_wall_0_desc;The Antonine Wall, known to the Romans as "Vallum Antonini", was a turf fortification on stone foundations, built by the Romans across what is now the Central Belt of Scotland, between the Firth of Forth and the Firth of Clyde. Representing the northernmost frontier barrier of the Roman Empire, it spanned approximately 63 kilometres (39 miles) and was about 3 metres high and 5 metres wide. Security was bolstered by a deep ditch on the northern side. It is thought that there was a wooden palisade on top of the turf. The barrier was the second of two "great walls" created by the Romans in Northern Britain. Its ruins are less evident than the better-known Hadrian's Wall to the south, primarily because the turf and wood wall has largely weathered away, unlike its stone-built southern predecessor.;Le mur d?Antonin est une muraille que l'empereur Antonin le Pieux fit construire vers 140 en Bretagne (Grande-Bretagne) par Quintus Lollius Urbicus entre le Firth of Forth et la Clyde (Écosse) et qui « doublait » au Nord la fortification (mur d'Hadrien) déja édifiée par son pere adoptif Hadrien. Il fut submergé par les invasions barbares pictes (territoire de l'Écosse actuelle) a la fin du IIe siecle.;;;El Muro de Antonino, conocido por los romanos como "Vallum Antonini", era una fortificación de césped sobre cimientos de piedra, construida por los romanos a través de lo que ahora es el Cinturón Central de Escocia, entre el Firth of Forth y el Firth of Clyde. Representando la barrera fronteriza más septentrional del Imperio Romano, se extendió aproximadamente 63 kilómetros (39 millas) y era cerca de 3 metros de alto y 5 metros de ancho. La seguridad fue reforzada por una profunda zanja en el lado norte. Se cree que había una empalizada de madera en la parte superior del césped. La barrera fue la segunda de dos "grandes muros" creados por los romanos en el norte de Gran Bretaña. Sus ruinas son menos evidentes que la Muralla de Adriano más conocida al sur, principalmente porque el césped y la pared de madera han desaparecido en gran medida, a diferencia de su predecesor de piedra construido en el sur.;;;;;;;;;x
ct_antonine_wall_0;Remnants of Antonine Wall;Vestiges du mur d'Antonin;;;Restos de la Muralla de Antonino;;;;;;;;;x
ct_antonine_wall_0_desc;The Antonine Wall, known to the Romans as "Vallum Antonini", was a turf fortification on stone foundations, built by the Romans across what is now the Central Belt of Scotland, between the Firth of Forth and the Firth of Clyde. Representing the northernmost frontier barrier of the Roman Empire, it spanned approximately 63 kilometres (39 miles) and was about 3 metres high and 5 metres wide. Security was bolstered by a deep ditch on the northern side. It is thought that there was a wooden palisade on top of the turf. The barrier was the second of two "great walls" created by the Romans in Northern Britain. Its ruins are less evident than the better-known Hadrian's Wall to the south, primarily because the turf and wood wall has largely weathered away, unlike its stone-built southern predecessor.;Le mur d?Antonin est une muraille que l'empereur Antonin le Pieux fit construire vers 140 en Bretagne (Grande-Bretagne) par Quintus Lollius Urbicus entre le Firth of Forth et la Clyde (Écosse) et qui « doublait » au Nord la fortification (mur d'Hadrien) déja édifiée par son pere adoptif Hadrien. Il fut submergé par les invasions barbares pictes (territoire de l'Écosse actuelle) a la fin du IIe siecle.;;;El Muro de Antonino, conocido por los romanos como "Vallum Antonini", era una fortificación de césped sobre cimientos de piedra, construida por los romanos a través de lo que ahora es el Cinturón Central de Escocia, entre el Firth of Forth y el Firth of Clyde. Representando la barrera fronteriza más septentrional del Imperio Romano, se extendió aproximadamente 63 kilómetros (39 millas) y era cerca de 3 metros de alto y 5 metros de ancho. La seguridad fue reforzada por una profunda zanja en el lado norte. Se cree que había una empalizada de madera en la parte superior del césped. La barrera fue la segunda de dos "grandes muros" creados por los romanos en el norte de Gran Bretaña. Sus ruinas son menos evidentes que la Muralla de Adriano más conocida al sur, principalmente porque el césped y la pared de madera han desaparecido en gran medida, a diferencia de su predecesor de piedra construido en el sur.;;;;;;;;;x
tp_antonine_wall_0;Remnants of Antonine Wall;Vestiges du mur d'Antonin;;;Restos de la Muralla de Antonino;;;;;;;;;x
tp_antonine_wall_0_desc;The Antonine Wall, known to the Romans as "Vallum Antonini", was a turf fortification on stone foundations, built by the Romans across what is now the Central Belt of Scotland, between the Firth of Forth and the Firth of Clyde. Representing the northernmost frontier barrier of the Roman Empire, it spanned approximately 63 kilometres (39 miles) and was about 3 metres high and 5 metres wide. Security was bolstered by a deep ditch on the northern side. It is thought that there was a wooden palisade on top of the turf. The barrier was the second of two "great walls" created by the Romans in Northern Britain. Its ruins are less evident than the better-known Hadrian's Wall to the south, primarily because the turf and wood wall has largely weathered away, unlike its stone-built southern predecessor.;Le mur d?Antonin est une muraille que l'empereur Antonin le Pieux fit construire vers 140 en Bretagne (Grande-Bretagne) par Quintus Lollius Urbicus entre le Firth of Forth et la Clyde (Écosse) et qui « doublait » au Nord la fortification (mur d'Hadrien) déja édifiée par son pere adoptif Hadrien. Il fut submergé par les invasions barbares pictes (territoire de l'Écosse actuelle) a la fin du IIe siecle.;;;El Muro de Antonino, conocido por los romanos como "Vallum Antonini", era una fortificación de césped sobre cimientos de piedra, construida por los romanos a través de lo que ahora es el Cinturón Central de Escocia, entre el Firth of Forth y el Firth of Clyde. Representando la barrera fronteriza más septentrional del Imperio Romano, se extendió aproximadamente 63 kilómetros (39 millas) y era cerca de 3 metros de alto y 5 metros de ancho. La seguridad fue reforzada por una profunda zanja en el lado norte. Se cree que había una empalizada de madera en la parte superior del césped. La barrera fue la segunda de dos "grandes muros" creados por los romanos en el norte de Gran Bretaña. Sus ruinas son menos evidentes que la Muralla de Adriano más conocida al sur, principalmente porque el césped y la pared de madera han desaparecido en gran medida, a diferencia de su predecesor de piedra construido en el sur.;;;;;;;;;x
ca_hadrian_wall_1;Rebuilt Hadrian's Wall;Les restes du mur d'Hadrien;;;Restos de la Muralla de Adriano;;;;;;;;;x
ca_hadrian_wall_1_desc;The rebuilt Hadrian's Wall once again protects southern Britain against enemies from the north.;Le mur d'Hadrian reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Adriano protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
ca_antonine_wall_1;Rebuilt Antonine Wall;Vestiges du mur d'Antonin;;;Restos de la Muralla de Antonino;;;;;;;;;x
ca_antonine_wall_1_desc;The rebuilt Antonine Wall once again protects southern Britain against enemies from the north.;Le mur d'Antonine reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Antonino protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
ct_hadrian_wall_1;Rebuilt Hadrian's Wall;Les restes du mur d'Hadrien;;;Reconstrucción de la muralla;;;;;;;;;x
ct_hadrian_wall_1_desc;The rebuilt Hadrian's Wall once again protects southern Britain against enemies from the north.;Le mur d'Hadrian reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Adriano protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
ct_antonine_wall_1;Rebuilt Antonine Wall;Vestiges du mur d'Antonin;;;Reconstrucción de la muralla;;;;;;;;;x
ct_antonine_wall_1_desc;The rebuilt Antonine Wall once again protects southern Britain against enemies from the north.;Le mur d'Antonine reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Antonino protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
tb_hadrian_wall_1;Rebuilt Hadrian's Wall;Les restes du mur d'Hadrien;;;Reconstrucción de la muralla;;;;;;;;;x
tb_hadrian_wall_1_desc;The rebuilt Hadrian's Wall once again protects southern Britain against enemies from the north.;Le mur d'Hadrian reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Adriano protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
tb_antonine_wall_1;Rebuilt Antonine Wall;Vestiges du mur d'Antonin;;;Reconstrucción de la muralla;;;;;;;;;x
tb_antonine_wall_1_desc;The rebuilt Antonine Wall once again protects southern Britain against enemies from the north.;Le mur d'Antonine reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Antonino protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
tp_hadrian_wall_1;Rebuilt Hadrian's Wall;Les restes du mur d'Hadrien;;;Reconstrucción de la muralla;;;;;;;;;x
tp_hadrian_wall_1_desc;The rebuilt Hadrian's Wall once again protects southern Britain against enemies from the north.;Le mur d'Hadrian reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Adriano protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
tp_antonine_wall_1;Rebuilt Antonine Wall;Vestiges du mur d'Antonin;;;Reconstrucción de la muralla;;;;;;;;;x
tp_antonine_wall_1_desc;The rebuilt Antonine Wall once again protects southern Britain against enemies from the north.;Le mur d'Antonine reconstruit une fois de plus protege le sud de la Grande-Bretagne contre les ennemis du nord.;;;La muralla reconstruida de Antonino protege nuevamente al sur de Gran Bretaña contra los enemigos del norte.;;;;;;;;;x
######Northumberland - Fort of Gefrin...;;;;;;;;;;;;x;;
tb_gefrin;Ad Gefrin;Ad Gefrin;;;Ad Gefrin;;;;;;;;;x
tb_gefrin_desc;Ad Gefrin is an Anglo-British settlement and palace.;Ad Gefrin est une colonie et un palais anglo-britanniques.;;;Ad Gefrin es un asentamiento y palacio anglo-británico.;;;;;;;;;x
######Rome...;;;;;;;;;;;;x;;
tp_colosseum;Colosseum;Colisée;;;Coliseo;;;;;;;;;x
tp_colosseum_desc;The Colosseum, also known as the Flavian Amphitheatre (Latin: Amphitheatrum Flavium), is an oval amphitheatre in the centre of the city of Rome. Built of concrete and sand, it is the largest amphitheatre ever built. The Colosseum is situated just east of the Roman Forum. Construction began under the emperor Vespasian in AD 72, and was completed in AD 80 under his successor and heir Titus. Further modifications were made during the reign of Domitian (81-96). These three emperors are known as the Flavian dynasty, and the amphitheatre was named in Latin for its association with their family name (Flavius). The Colosseum could hold between 50,000 and 80,000 spectators. It was used for gladiatorial contests and public spectacles such as mock sea battles (for only a short time as the hypogeum was soon filled in with mechanisms to support the other activities), animal hunts, executions, re-enactments of famous battles, and dramas based on Classical mythology.;Le Colisée, a l'origine amphithéâtre Flavien (Colosseo en italien), est un immense amphithéâtre ovoide situé dans le centre de la ville de Rome, entre l'Esquilin et le Calius, le plus grand jamais construit dans l'empire romain. Il est l'une des plus grandes ouvres de l'architecture et de l'ingénierie romaines.;;;El Coliseo, también conocido como el Anfiteatro Flaviano (latín: Amphitheatrum Flavium), es un anfiteatro oval en el centro de la ciudad de Roma. Construido de hormigón y arena, es el anfiteatro más grande jamás construido. El Coliseo está situado justo al este del Foro Romano. La construcción comenzó bajo el emperador Vespasiano en el año 72 DC, y se completó en el año 80 DC bajo su sucesor y heredero Titus. Otras modificaciones fueron hechas durante el reinado de Domiciano (81-96). Estos tres emperadores se conocen como la dinastía Flavian, y el anfiteatro fue nombrado en latín para su asociación con su apellido (Flavius). El Coliseo podría tener entre 50.000 y 80.000 espectadores. Se utilizó para concursos de gladiadores y espectáculos públicos como las simuladas batallas navales (por un corto tiempo, ya que el hipogeo se llenó rápidamente con mecanismos para apoyar las otras actividades), cazas de animales, ejecuciones, reconstituciones de batallas famosas y dramas Basado en la mitología clásica.;;;;;;;;;;;;x
tp_aurelian_walls;Aurelian Walls;Mur d'Aurélien;;;Murallas Aurelianas;;;;;;;;;x
tp_aurelian_walls_desc;The Aurelian Walls (Latin: Muri Aureliani) are a line of city walls built between 271 AD and 275 AD in Rome, during the reign of the Roman Emperors Aurelian and Probus. They superseded the earlier Servian Wall built during the 4th century BC. The walls enclosed all the seven hills of Rome plus the Campus Martius and, on the right bank of the Tiber, the Trastevere district. The river banks within the city limits appear to have been left unfortified, although they were fortified along the Campus Martius.;Le mur d'Aurélien est une enceinte fortifiée antique protégeant la ville de Rome, en Italie, construite entre 271 et 282, sous le regne des empereurs Aurélien et Probus. Cette protection n'empecha pas plusieurs sacs de Rome au cours du Ve siecle et fut mise a contribution lors des affrontements entre les Ostrogoths et le général Bélisaire au cours de la reconquete de l'Italie par Constantinople au VIe siecle. En revanche, elle protégea efficacement Rome contre les raids sarrasins du haut Moyen Âge.;;;Las murallas aurelianas (en latín: Muri Aureliani) son una línea de murallas construidas entre 271 y 275 dC en Roma, durante el reinado de los emperadores romanos Aureliano y Probus. Sustituyeron a la muralla serviana anterior construida durante el 4to siglo AC. Las murallas encerraban las siete colinas de Roma, más el Campus Martius y, en la margen derecha del Tíber, el barrio de Trastevere. Las riberas del río dentro de los límites de la ciudad parecen haber quedado sin fortificar, aunque fueron fortificadas a lo largo del Campus Martius.;;;;;;;;;x
ca_colosseum;Colosseum;Colisée;;;Coliseo;;;;;;;;;x
ca_colosseum_desc;The Colosseum, also known as the Flavian Amphitheatre (Latin: Amphitheatrum Flavium), is an oval amphitheatre in the centre of the city of Rome. Built of concrete and sand, it is the largest amphitheatre ever built. The Colosseum is situated just east of the Roman Forum. Construction began under the emperor Vespasian in AD 72, and was completed in AD 80 under his successor and heir Titus. Further modifications were made during the reign of Domitian (81-96). These three emperors are known as the Flavian dynasty, and the amphitheatre was named in Latin for its association with their family name (Flavius). The Colosseum could hold between 50,000 and 80,000 spectators. It was used for gladiatorial contests and public spectacles such as mock sea battles (for only a short time as the hypogeum was soon filled in with mechanisms to support the other activities), animal hunts, executions, re-enactments of famous battles, and dramas based on Classical mythology.;Le Colisée, a l'origine amphithéâtre Flavien (Colosseo en italien), est un immense amphithéâtre ovoide situé dans le centre de la ville de Rome, entre l'Esquilin et le Calius, le plus grand jamais construit dans l'empire romain. Il est l'une des plus grandes ouvres de l'architecture et de l'ingénierie romaines.;;;El Coliseo, también conocido como el Anfiteatro Flaviano (latín: Amphitheatrum Flavium), es un anfiteatro oval en el centro de la ciudad de Roma. Construido de hormigón y arena, es el anfiteatro más grande jamás construido. El Coliseo está situado justo al este del Foro Romano. La construcción comenzó bajo el emperador Vespasiano en el año 72 DC, y se completó en el año 80 DC bajo su sucesor y heredero Titus. Otras modificaciones fueron hechas durante el reinado de Domiciano (81-96). Estos tres emperadores se conocen como la dinastía Flavian, y el anfiteatro fue nombrado en latín para su asociación con su apellido (Flavius). El Coliseo pudo tener entre 50.000 y 80.000 espectadores. Se utilizó para concursos de gladiadores y espectáculos públicos como las simuladas batallas navales (para un corto tiempo, y que el hipogeo se moviliza rápidamente para apoyar las otras actividades), cazas de animales, ejecuciones, reconstituciones de batallas famosas y dramas Basado en La mitología clásica.;;;;;;;;;x
ca_aurelian_walls;Aurelian Walls;Mur d'Aurélien;;;Murallas Aurelianas;;;;;;;;;x
ca_aurelian_walls_desc;The Aurelian Walls (Latin: Muri Aureliani) are a line of city walls built between 271 AD and 275 AD in Rome, during the reign of the Roman Emperors Aurelian and Probus. They superseded the earlier Servian Wall built during the 4th century BC. The walls enclosed all the seven hills of Rome plus the Campus Martius and, on the right bank of the Tiber, the Trastevere district. The river banks within the city limits appear to have been left unfortified, although they were fortified along the Campus Martius.;Le mur d'Aurélien est une enceinte fortifiée antique protégeant la ville de Rome, en Italie, construite entre 271 et 282, sous le regne des empereurs Aurélien et Probus. Cette protection n'empecha pas plusieurs sacs de Rome au cours du Ve siecle et fut mise a contribution lors des affrontements entre les Ostrogoths et le général Bélisaire au cours de la reconquete de l'Italie par Constantinople au VIe siecle. En revanche, elle protégea efficacement Rome contre les raids sarrasins du haut Moyen Âge.;;;Las murallas aurelianas (en latín: Muri Aureliani) son una línea de murallas construidas entre 271 y 275 dC en Roma, durante el reinado de los emperadores romanos Aureliano y Probus. Sustituyeron a la muralla serviana anterior construida durante el 4to siglo AC. Las murallas encerraban las siete colinas de Roma, más el Campus Martius y, en la margen derecha del Tíber, el barrio de Trastevere. Las riberas del río dentro de los límites de la ciudad parecen haber quedado sin fortificar, aunque fueron fortificadas a lo largo del Campus Martius.;;;;;;;;;x
######Alexandria...;;;;;;;;;;;;x;;
tp_alexandria_lighthouse_0;Lighthouse of Alexandria;Phare d'Alexandrie;;;Faro de Alejandría;;;;;;;;;x
tp_alexandria_lighthouse_0_desc;The Lighthouse of Alexandria, sometimes called the Pharos of Alexandria, was a lighthouse built by the Ptolemaic Kingdom between 280 and 247 BC which was between 120 and 137 m tall. One of the Seven Wonders of the Ancient World, for many centuries it was one of the tallest man-made structures in the world.;Le phare d'Alexandrie. Il était considéré dans l'Antiquité comme la septieme des sept merveilles du monde. Il a servi de guide aux marins pendant pres de dix-sept siecles (du IIIe siecle av. J.-C. au XIVe siecle). Sa construction aurait débuté entre -299 et -289 (la date exacte est inconnue) et duré une quinzaine d'années. Les travaux sont commencés par Ptolémée Ier mais il meurt avant la fin du chantier qui est achevé sous le regne de son fils Ptolémée II.;;;El faro de Alejandría, llamado a veces el Pharos de Alejandría, era un faro construido por el reino Ptolemaico entre 280 y 247 AC que estaba entre 120 y 137 m altos. Una de las siete maravillas del mundo antiguo, durante muchos siglos fué una de las estructuras hechas por el hombre más altas del mundo.;;;;;;;;;x
tp_alexandria_lighthouse_1;Renovated Lighthouse of Alexandria;Phare rénové d'Alexandrie;;;El Faro Renovado de Alejandría;;;;;;;;;x
tp_alexandria_lighthouse_1_desc;The Lighthouse of Alexandria has seen better days, but it can be restored to its former greatness.;Le phare d'Alexandrie. Il était considéré dans l'Antiquité comme la septieme des sept merveilles du monde. Il a servi de guide aux marins pendant pres de dix-sept siecles (du IIIe siecle av. J.-C. au XIVe siecle). Sa construction aurait débuté entre -299 et -289 (la date exacte est inconnue) et duré une quinzaine d'années. Les travaux sont commencés par Ptolémée Ier mais il meurt avant la fin du chantier qui est achevé sous le regne de son fils Ptolémée II.;;;El Faro de Alejandría ha visto días mejores, pero puede ser restaurado a su antigua grandeza.;;;;;;;;;x
######Unique Buildings mod - courtesy of Morloran...;;;;;;;;;;;;x;;
tp_dam_mosque;Great Mosque of Damascus;Grande Mosqu?des Omeyyades;;;Gran mezquita de Damasco;;;;;;;;;x
tp_dam_mosque_desc;The Great Mosque of Damascus is one of the largest mosques in the world. The mosque was built on the site of a Christian basilica dedicated to John the Baptist, honored as a prophet by Christians and Muslims alike.;La Grande Mosqu?des Omeyyades de Damas, construite entre 706 et 715, est un ?fice religieux musulman ?fi?ar le calife omeyyade Al Walid I??.;;;La Gran Mezquita de Damasco es una de las mezquitas más grandes del mundo. La mezquita fue construida en el sitio de una basílica cristiana dedicada a Juan el Bautista, honrado como un profeta por los cristianos y los musulmanes igualmente.;;;;;;;;;x
ca_carthport_0;Port of Carthage;Port de Carthage;Hafen von Karthago;;Puerto de Cartago;;;Puerto de Cartago;;;;;;x
ca_carthport_1;Rebuilt Port of Carthage;Port de Carthage reconstruit;Umgebungshafen von Karthago;;Puerto reconstruido de Cartago;;;;;;;;;x
